"","UF","status","n","year","week","min","max"
"7151","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7152","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7153","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7154","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7155","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","2",2013,48,"2","2"
"7156","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7157","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7158","Pará","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7159","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7160","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7161","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7162","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7163","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7164","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7165","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7166","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7167","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7168","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7169","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2013,48,"0","0"
"7170","Acre","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7171","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7172","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7173","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7174","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7175","Brasil","Dado estável. Sujeito a pequenas alterações.","7",2013,49,"7","7"
"7176","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7177","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7178","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7179","Goiás","Dado estável. Sujeito a pequenas alterações.","1",2013,49,"1","1"
"7180","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7181","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7182","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7183","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","1",2013,49,"1","1"
"7184","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7185","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7186","Pará","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7187","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7188","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7189","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7190","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7191","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7192","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
"7193","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2013,49,"0","0"
