"","UF","status","n","year","week","min","max"
"190","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"191","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"192","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"193","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"194","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"195","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"196","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"197","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2009,7,"0","0"
"198","Acre","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"199","Alagoas","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"200","Amapá","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"201","Amazonas","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"202","Bahia","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"203","Brasil","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"204","Ceará","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"205","Distrito Federal","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"206","Espírito Santo","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"207","Goiás","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"208","Maranhão","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"209","Mato Grosso","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"210","Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"211","Minas Gerais","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"212","Paraná","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"213","Paraíba","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"214","Pará","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"215","Pernambuco","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"216","Piauí","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"217","Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"218","Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"219","Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"220","Rondônia","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"221","Roraima","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"222","Santa Catarina","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"223","Sergipe","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"224","São Paulo","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"225","Tocantins","Dado estável. Sujeito a pequenas alterações.","0",2009,8,"0","0"
"226","Acre","Dado estável. Sujeito a pequenas alterações.","0",2009,9,"0","0"
