"","year","week","UF","status_sars","n_sars","min_sars","max_sars","cases","deaths"
"129",2009,5,"Paraná","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"130",2009,5,"Pernambuco","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"131",2009,5,"Piauí","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"132",2009,5,"Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"133",2009,5,"Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"134",2009,5,"Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"135",2009,5,"Rondônia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"136",2009,5,"Roraima","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"137",2009,5,"Santa Catarina","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"138",2009,5,"São Paulo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"139",2009,5,"Sergipe","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"140",2009,5,"Tocantins","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"141",2009,6,"Acre","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"142",2009,6,"Alagoas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"143",2009,6,"Amapá","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"144",2009,6,"Amazonas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"145",2009,6,"Bahia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"146",2009,6,"Brasil","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"147",2009,6,"Ceará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"148",2009,6,"Distrito Federal","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"149",2009,6,"Espírito Santo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"150",2009,6,"Goiás","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"151",2009,6,"Maranhão","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"152",2009,6,"Mato Grosso","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"153",2009,6,"Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"154",2009,6,"Minas Gerais","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"155",2009,6,"Pará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"156",2009,6,"Paraíba","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"157",2009,6,"Paraná","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"158",2009,6,"Pernambuco","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"159",2009,6,"Piauí","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"160",2009,6,"Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"161",2009,6,"Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"162",2009,6,"Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"163",2009,6,"Rondônia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"164",2009,6,"Roraima","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"165",2009,6,"Santa Catarina","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"166",2009,6,"São Paulo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"167",2009,6,"Sergipe","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"168",2009,6,"Tocantins","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"169",2009,7,"Acre","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"170",2009,7,"Alagoas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"171",2009,7,"Amapá","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"172",2009,7,"Amazonas","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"173",2009,7,"Bahia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"174",2009,7,"Brasil","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"175",2009,7,"Ceará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"176",2009,7,"Distrito Federal","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"177",2009,7,"Espírito Santo","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"178",2009,7,"Goiás","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"179",2009,7,"Maranhão","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"180",2009,7,"Mato Grosso","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"181",2009,7,"Mato Grosso do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"182",2009,7,"Minas Gerais","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"183",2009,7,"Pará","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"184",2009,7,"Paraíba","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"185",2009,7,"Paraná","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"186",2009,7,"Pernambuco","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"187",2009,7,"Piauí","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"188",2009,7,"Rio de Janeiro","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"189",2009,7,"Rio Grande do Norte","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"190",2009,7,"Rio Grande do Sul","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"191",2009,7,"Rondônia","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"192",2009,7,"Roraima","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
"193",2009,7,"Santa Catarina","Dado estável. Sujeito a pequenas alterações.",0,0,0,NA,NA
